root_id,x,y,z,t,layer
2,-13.822,-69.996,-3.132,4000.0,Loam
2,-13.821,-69.997,-3.132,4050.0,Loam
2,-13.821,-69.998,-3.132,4100.0,Loam
2,-13.821,-69.998,-3.132,4150.0,Loam
2,-13.821,-69.999,-3.132,4200.0,Loam
2,-13.821,-70.000,-3.132,4250.0,Loam
2,-13.821,-70.000,-3.132,4300.0,Loam
2,-13.821,-70.001,-3.132,4350.0,Loam
2,-13.821,-70.001,-3.132,4400.0,Loam
2,-13.821,-70.001,-3.132,4450.0,Loam
2,-13.821,-70.002,-3.132,4500.0,Loam
2,-13.821,-70.002,-3.132,4550.0,Loam
2,-13.821,-70.002,-3.132,4600.0,Loam
2,-13.821,-70.002,-3.132,4650.0,Loam
2,-13.821,-70.002,-3.132,4700.0,Loam
2,-13.821,-70.003,-3.132,4750.0,Loam
2,-13.821,-70.003,-3.132,4800.0,Loam
2,-13.821,-70.003,-3.132,4850.0,Loam
2,-13.821,-70.003,-3.132,4900.0,Loam
2,-13.821,-70.003,-3.132,4950.0,Loam
2,-13.821,-70.003,-3.132,5000.0,Loam
3,4.394,5.523,-2.994,50.0,Loam
3,8.280,11.564,-2.992,100.0,Loam
3,13.200,15.788,-3.029,150.0,Loam
3,18.611,18.228,-3.037,200.0,Loam
3,23.781,19.832,-3.061,250.0,Loam
3,28.477,21.331,-3.086,300.0,Loam
3,32.763,22.655,-3.090,350.0,Loam
3,36.673,23.816,-3.080,400.0,Loam
3,40.334,24.451,-3.061,450.0,Loam
3,43.682,24.921,-3.055,500.0,Loam
3,46.748,25.033,-3.051,550.0,Loam
3,49.534,24.746,-3.034,600.0,Loam
3,52.062,24.425,-3.022,650.0,Loam
3,54.292,23.801,-3.025,700.0,Loam
3,56.300,23.152,-3.017,750.0,Loam
3,58.148,22.627,-3.015,800.0,Loam
3,59.831,22.153,-3.001,850.0,Loam
3,61.373,21.761,-2.991,900.0,Loam
3,62.775,21.400,-2.984,950.0,Loam
3,64.055,21.089,-2.987,1000.0,Loam
3,65.204,20.744,-2.986,1050.0,Loam
3,66.235,20.387,-2.987,1100.0,Loam
3,67.134,19.969,-2.985,1150.0,Loam
3,67.925,19.532,-2.988,1200.0,Loam
3,68.637,19.119,-2.988,1250.0,Loam
3,69.282,18.740,-2.987,1300.0,Loam
3,69.879,18.412,-2.987,1350.0,Loam
3,70.445,18.159,-2.982,1400.0,Loam
3,70.947,17.903,-2.982,1450.0,Loam
3,71.391,17.646,-2.976,1500.0,Loam
3,71.795,17.411,-2.972,1550.0,Loam
3,72.167,17.205,-2.971,1600.0,Loam
3,72.512,17.030,-2.973,1650.0,Loam
3,72.835,16.889,-2.978,1700.0,Loam
3,73.126,16.756,-2.978,1750.0,Loam
3,73.391,16.634,-2.977,1800.0,Loam
3,73.632,16.522,-2.977,1850.0,Loam
3,73.851,16.420,-2.977,1900.0,Loam
